LocationName,Total
Adam Clayton Powell Blvd at 113th Street - NB *,40
Broadway at W28 St.,265
Central Park West at W93 St.,139
Fifth Avenue at 14 St.,292
First Avenue at E85 St.,104
Fort Washington Avenue at 173rd Street - NB * ,48
Hudson Street/Eighth Avenue at W28 St.,329
Lafayette Street at Astor Pl.,395
Second Avenue at E7 St.,410
Sixth Avenue at W23 St.,577
